datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2022-10-01 00:00:00,9.5,97.8,0.0,1.5,0.0
2022-10-01 01:00:00,9.6,98.6,0.0,1.4,347.0
2022-10-01 02:00:00,9.7,98.8,0.0,2.7,320.0
2022-10-01 03:00:00,9.8,99.0,0.1,2.6,343.0
2022-10-01 04:00:00,9.8,99.1,0.1,4.2,314.0
2022-10-01 05:00:00,9.8,99.2,0.1,5.2,0.0
2022-10-01 06:00:00,9.8,99.2,0.1,4.6,14.0
2022-10-01 07:00:00,9.9,99.3,0.1,5.0,278.0
2022-10-01 08:00:00,9.9,99.3,0.0,5.1,318.0
2022-10-01 09:00:00,10.1,99.3,0.1,4.3,347.0
2022-10-01 10:00:00,10.4,99.3,0.0,3.6,302.0
2022-10-01 11:00:00,11.0,99.2,0.0,2.5,354.0
2022-10-01 12:00:00,11.0,99.2,0.0,7.4,298.0
2022-10-01 13:00:00,10.6,99.2,0.0,8.9,286.0
2022-10-01 14:00:00,11.0,98.0,0.0,9.1,312.0
2022-10-01 15:00:00,11.2,94.3,0.0,7.7,295.0
2022-10-01 16:00:00,11.5,92.9,0.0,5.6,276.0
2022-10-01 17:00:00,11.6,92.5,0.0,3.2,232.0
2022-10-01 18:00:00,11.3,93.4,0.0,2.4,274.0
2022-10-01 19:00:00,11.1,94.0,0.0,1.6,173.0
2022-10-01 20:00:00,10.6,96.3,0.0,1.1,0.0
2022-10-01 21:00:00,10.5,97.8,0.0,0.0,0.0
2022-10-01 22:00:00,10.6,98.1,0.0,0.5,0.0
2022-10-01 23:00:00,10.2,98.4,0.0,2.0,152.0
2022-10-02 00:00:00,9.8,98.6,0.0,1.5,56.0
2022-10-02 01:00:00,9.6,98.7,0.0,0.2,51.0
2022-10-02 02:00:00,9.6,98.8,0.0,0.0,0.0
2022-10-02 03:00:00,9.5,99.0,0.0,0.0,0.0
2022-10-02 04:00:00,9.6,99.1,0.0,0.0,0.0
2022-10-02 05:00:00,9.8,99.2,0.0,0.0,0.0
2022-10-02 06:00:00,10.0,99.2,0.0,0.4,0.0
2022-10-02 07:00:00,10.1,99.3,0.0,1.6,0.0
2022-10-02 08:00:00,10.2,99.3,0.0,2.9,45.0
2022-10-02 09:00:00,10.4,99.3,0.0,4.6,349.0
2022-10-02 10:00:00,10.4,99.2,0.0,4.1,272.0
2022-10-02 11:00:00,10.9,98.8,0.0,3.9,0.0
2022-10-02 12:00:00,11.1,95.2,0.0,6.3,290.0
2022-10-02 13:00:00,11.3,92.6,0.0,6.6,331.0
2022-10-02 14:00:00,11.5,90.3,0.0,7.8,292.0
2022-10-02 15:00:00,11.6,89.2,0.0,10.0,284.0
2022-10-02 16:00:00,10.9,92.3,0.0,8.1,279.0
2022-10-02 17:00:00,10.7,93.1,0.0,2.7,310.0
2022-10-02 18:00:00,10.2,96.4,0.0,2.8,57.0
