datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2022-10-01 00:00:00,9.7,100.0,0.0,2.7,0.0
2022-10-01 01:00:00,9.6,100.0,0.0,4.8,358.0
2022-10-01 02:00:00,9.6,100.0,0.0,7.5,69.0
2022-10-01 03:00:00,9.6,100.0,0.0,6.7,85.0
2022-10-01 04:00:00,10.0,100.0,0.0,7.7,60.0
2022-10-01 05:00:00,10.2,100.0,0.0,8.5,68.0
2022-10-01 06:00:00,10.3,100.0,0.0,9.5,3.0
2022-10-01 07:00:00,10.6,100.0,0.0,11.1,20.0
2022-10-01 08:00:00,10.9,100.0,0.0,10.8,17.0
2022-10-01 09:00:00,11.3,100.0,0.0,9.6,344.0
2022-10-01 10:00:00,11.8,100.0,0.0,10.4,349.0
2022-10-01 11:00:00,12.0,100.0,0.0,12.6,293.0
2022-10-01 12:00:00,12.4,99.8,0.0,12.2,293.0
2022-10-01 13:00:00,12.1,100.0,0.0,14.7,308.0
2022-10-01 14:00:00,12.0,100.0,0.0,13.6,263.0
2022-10-01 15:00:00,12.1,100.0,0.0,10.5,285.0
2022-10-01 16:00:00,12.2,100.0,0.0,10.0,264.0
2022-10-01 17:00:00,11.9,99.8,0.0,8.9,279.0
2022-10-01 18:00:00,11.7,100.0,0.0,5.5,315.0
2022-10-01 19:00:00,11.4,100.0,0.0,5.4,338.0
2022-10-01 20:00:00,11.1,100.0,0.0,4.9,265.0
2022-10-01 21:00:00,10.7,100.0,0.0,4.2,204.0
2022-10-01 22:00:00,10.5,100.0,0.0,3.6,0.0
2022-10-01 23:00:00,10.4,100.0,0.0,3.2,141.0
2022-10-02 00:00:00,10.3,100.0,0.0,4.6,147.0
2022-10-02 01:00:00,10.1,100.0,0.0,4.2,152.0
2022-10-02 02:00:00,10.1,100.0,0.0,4.6,157.0
2022-10-02 03:00:00,10.1,100.0,0.0,2.5,203.0
2022-10-02 04:00:00,10.1,100.0,0.0,5.5,193.0
2022-10-02 05:00:00,9.9,100.0,0.0,6.7,240.0
2022-10-02 06:00:00,9.8,100.0,0.2,4.5,228.0
2022-10-02 07:00:00,10.0,100.0,0.0,2.1,210.0
2022-10-02 08:00:00,10.3,100.0,0.0,3.4,47.0
2022-10-02 09:00:00,10.7,100.0,0.0,5.9,281.0
2022-10-02 10:00:00,10.7,100.0,0.0,9.1,289.0
2022-10-02 11:00:00,10.7,100.0,0.0,7.6,328.0
2022-10-02 12:00:00,10.7,100.0,0.0,10.4,266.0
2022-10-02 13:00:00,11.3,99.9,0.0,9.9,285.0
2022-10-02 14:00:00,11.3,99.7,0.0,10.0,295.0
