datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2022-10-01 00:00:00,10.6,96.3,0.0,14.3,314.0
2022-10-01 01:00:00,10.6,96.9,0.0,12.8,322.0
2022-10-01 02:00:00,10.5,97.2,0.0,9.6,304.0
2022-10-01 03:00:00,10.4,97.3,0.0,3.9,348.0
2022-10-01 04:00:00,10.3,97.4,0.0,3.7,345.0
2022-10-01 05:00:00,10.4,97.4,0.0,6.3,345.0
2022-10-01 06:00:00,10.4,97.2,0.0,4.5,360.0
2022-10-01 07:00:00,10.6,97.2,0.2,5.3,343.0
2022-10-01 08:00:00,10.6,97.0,0.0,5.7,329.0
2022-10-01 09:00:00,10.9,96.3,0.0,6.2,323.0
2022-10-01 10:00:00,11.6,92.5,0.0,2.5,360.0
2022-10-01 11:00:00,12.8,86.7,0.0,1.7,34.0
2022-10-01 12:00:00,13.0,85.7,0.0,10.3,0.0
2022-10-01 13:00:00,13.0,83.9,0.0,14.4,289.0
2022-10-01 14:00:00,13.2,82.1,0.0,13.3,312.0
2022-10-01 15:00:00,12.9,82.8,0.0,12.9,292.0
2022-10-01 16:00:00,12.7,84.7,0.0,9.2,299.0
2022-10-01 17:00:00,12.3,87.5,0.0,6.8,341.0
2022-10-01 18:00:00,12.0,88.7,0.0,4.3,262.0
2022-10-01 19:00:00,11.8,90.6,0.0,2.6,296.0
2022-10-01 20:00:00,11.7,90.6,0.0,2.2,0.0
2022-10-01 21:00:00,11.5,93.4,0.0,1.7,220.0
2022-10-01 22:00:00,11.3,94.0,0.0,5.8,220.0
2022-10-01 23:00:00,11.1,94.2,0.0,5.5,233.0
2022-10-02 00:00:00,11.2,93.8,0.0,2.1,251.0
2022-10-02 01:00:00,11.4,93.5,0.0,0.1,0.0
2022-10-02 02:00:00,11.3,93.0,0.0,1.9,0.0
2022-10-02 03:00:00,11.1,93.2,0.0,0.5,0.0
2022-10-02 04:00:00,10.9,95.4,0.0,2.6,0.0
2022-10-02 05:00:00,10.6,96.6,0.0,4.8,322.0
2022-10-02 06:00:00,10.4,97.0,0.0,3.0,7.0
2022-10-02 07:00:00,10.5,97.1,0.0,4.5,326.0
2022-10-02 08:00:00,10.8,97.1,0.0,4.1,321.0
