datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2019-11-01 00:00:00,14.6,77.7,,10.1,232.0
2019-11-01 01:00:00,14.6,77.7,,10.1,232.0
2019-11-01 02:00:00,14.6,77.7,,10.1,232.0
2019-11-01 03:00:00,14.6,77.7,,10.1,232.0
2019-11-01 04:00:00,14.6,77.7,,10.1,232.0
2019-11-01 05:00:00,14.6,77.7,,10.1,232.0
2019-11-01 06:00:00,14.6,77.7,,10.1,232.0
2019-11-01 07:00:00,14.6,77.7,,10.1,232.0
2019-11-01 08:00:00,14.6,77.7,,10.1,232.0
2019-11-01 09:00:00,14.6,77.7,,10.1,232.0
2019-11-01 10:00:00,14.6,77.7,,10.1,232.0
2019-11-01 11:00:00,14.6,77.7,,10.1,232.0
2019-11-01 12:00:00,14.6,77.7,,10.1,232.0
2019-11-01 13:00:00,14.6,77.7,,10.1,232.0
2019-11-01 14:00:00,14.6,77.7,,10.1,232.0
2019-11-01 15:00:00,14.6,77.7,,10.1,232.0
2019-11-01 16:00:00,14.6,77.7,,10.1,232.0
2019-11-01 17:00:00,14.6,77.7,,10.1,232.0
2019-11-01 18:00:00,14.6,77.7,,10.1,232.0
2019-11-01 19:00:00,14.6,77.7,,10.1,232.0
2019-11-01 20:00:00,14.6,77.7,,10.1,232.0
2019-11-01 21:00:00,14.6,77.7,,10.1,232.0
2019-11-01 22:00:00,14.6,77.7,,10.1,232.0
2019-11-01 23:00:00,14.6,77.7,,10.1,232.0
2019-11-02 00:00:00,14.6,77.7,,10.1,232.0
2019-11-02 01:00:00,14.6,77.7,,10.1,232.0
2019-11-02 02:00:00,14.6,77.7,,10.1,232.0
2019-11-02 03:00:00,14.6,77.7,,10.1,232.0
2019-11-02 04:00:00,14.6,77.7,,10.1,232.0
2019-11-02 05:00:00,14.6,77.7,,10.1,232.0
2019-11-02 06:00:00,14.6,77.7,,10.1,232.0
2019-11-02 07:00:00,14.6,77.7,,10.1,232.0
2019-11-02 08:00:00,14.6,77.7,,10.1,232.0
2019-11-02 09:00:00,14.6,77.7,,10.1,232.0
2019-11-02 10:00:00,14.6,77.7,,10.1,232.0
2019-11-02 11:00:00,14.6,77.7,,10.1,232.0
2019-11-02 12:00:00,14.6,77.7,,10.1,232.0
2019-11-02 13:00:00,14.6,77.7,,10.1,232.0
2019-11-02 14:00:00,14.6,77.7,,10.1,232.0
2019-11-02 15:00:00,14.6,77.7,,10.1,232.0
2019-11-02 16:00:00,14.6,77.7,,10.1,232.0
2019-11-02 17:00:00,14.6,77.7,,10.1,232.0
2019-11-02 18:00:00,14.6,77.7,,10.1,232.0
2019-11-02 19:00:00,14.6,77.7,,10.1,232.0
2019-11-02 20:00:00,14.6,77.7,,10.1,232.0
2019-11-02 21:00:00,14.6,77.7,,10.1,232.0
2019-11-02 22:00:00,14.6,77.7,,10.1,232.0
2019-11-02 23:00:00,14.6,77.7,,10.1,232.0
2019-11-03 00:00:00,14.6,77.7,,10.1,232.0
2019-11-03 01:00:00,14.6,77.7,,10.1,232.0
2019-11-03 02:00:00,14.6,77.7,,10.1,232.0
2019-11-03 03:00:00,14.6,77.7,,10.1,232.0
2019-11-03 04:00:00,14.6,77.7,,10.1,232.0
2019-11-03 05:00:00,14.6,77.7,,10.1,232.0
2019-11-03 06:00:00,14.6,77.7,,10.1,232.0
2019-11-03 07:00:00,14.6,77.7,,10.1,232.0
2019-11-03 08:00:00,14.6,77.7,,10.1,232.0
2019-11-03 09:00:00,14.6,77.7,,10.1,232.0
2019-11-03 10:00:00,14.6,77.7,,10.1,232.0
2019-11-03 11:00:00,14.6,77.7,,10.1,232.0
2019-11-03 12:00:00,14.6,77.7,,10.1,232.0
2019-11-03 13:00:00,14.6,77.7,,10.1,232.0
2019-11-03 14:00:00,14.6,77.7,,10.1,232.0
2019-11-03 15:00:00,14.6,77.7,,10.1,232.0
2019-11-03 16:00:00,15.2,70.0,0.0,21.0,293.0
2019-11-03 17:00:00,14.0,74.5,0.0,18.9,222.0
2019-11-03 18:00:00,13.3,75.6,0.0,13.4,253.0
2019-11-03 19:00:00,12.6,81.0,0.0,7.8,247.0
2019-11-03 20:00:00,12.4,81.7,0.0,9.6,244.0
2019-11-03 21:00:00,12.2,82.0,0.0,10.4,294.0
2019-11-03 22:00:00,11.8,86.4,0.0,10.0,331.0
2019-11-03 23:00:00,11.3,92.0,0.2,13.4,354.0
