datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2022-10-01 00:00:00,11.5,100.0,0.0,3.6,341.0
2022-10-01 01:00:00,11.4,100.0,0.0,2.9,0.0
2022-10-01 02:00:00,11.1,100.0,0.0,5.4,18.0
2022-10-01 03:00:00,10.8,100.0,0.0,2.8,12.0
2022-10-01 04:00:00,10.9,100.0,0.0,1.0,14.0
2022-10-01 05:00:00,10.9,100.0,0.0,1.9,0.0
2022-10-01 06:00:00,10.9,100.0,0.0,2.1,341.0
2022-10-01 07:00:00,10.9,100.0,0.0,3.7,350.0
2022-10-01 08:00:00,11.2,100.0,0.0,3.6,323.0
2022-10-01 09:00:00,11.7,98.8,0.0,3.2,318.0
2022-10-01 10:00:00,12.2,96.5,0.0,5.1,50.0
2022-10-01 11:00:00,13.0,90.7,0.0,2.3,353.0
2022-10-01 12:00:00,14.6,80.9,0.0,4.6,104.0
2022-10-01 13:00:00,15.3,79.4,0.0,4.2,298.0
2022-10-01 14:00:00,14.9,81.9,0.0,7.3,313.0
2022-10-01 15:00:00,14.5,82.7,0.0,10.5,240.0
2022-10-01 16:00:00,13.5,86.4,0.0,9.3,250.0
2022-10-01 17:00:00,13.0,88.4,0.0,6.3,242.0
2022-10-01 18:00:00,12.4,94.9,0.0,6.3,221.0
2022-10-01 19:00:00,11.9,99.8,0.0,3.6,214.0
2022-10-01 20:00:00,11.8,100.0,0.0,1.5,173.0
2022-10-01 21:00:00,11.7,100.0,0.0,2.8,229.0
2022-10-01 22:00:00,11.7,100.0,0.0,1.2,0.0
2022-10-01 23:00:00,11.7,100.0,0.0,1.0,187.0
2022-10-02 00:00:00,11.6,100.0,0.0,4.5,282.0
2022-10-02 01:00:00,11.4,100.0,0.0,2.3,282.0
2022-10-02 02:00:00,11.4,100.0,0.0,1.2,0.0
2022-10-02 03:00:00,11.2,100.0,0.0,1.0,22.0
2022-10-02 04:00:00,11.2,100.0,0.0,2.8,168.0
2022-10-02 05:00:00,11.2,100.0,0.0,3.0,235.0
2022-10-02 06:00:00,11.0,100.0,0.0,2.4,188.0
2022-10-02 07:00:00,11.1,100.0,0.0,1.8,169.0
2022-10-02 08:00:00,11.4,100.0,0.0,2.0,196.0
2022-10-02 09:00:00,12.0,97.4,0.0,2.6,269.0
2022-10-02 10:00:00,12.6,93.5,0.0,2.5,222.0
2022-10-02 11:00:00,13.5,89.1,0.0,3.0,0.0
2022-10-02 12:00:00,13.8,89.3,0.0,6.0,216.0
2022-10-02 13:00:00,13.7,90.4,0.0,5.6,283.0
2022-10-02 14:00:00,14.5,85.2,0.0,3.1,317.0
2022-10-02 15:00:00,14.2,88.8,0.0,8.6,212.0
2022-10-02 16:00:00,12.7,95.5,0.0,9.6,240.0
2022-10-02 17:00:00,11.6,99.9,0.0,9.3,274.0
2022-10-02 18:00:00,11.2,100.0,0.0,1.3,268.0
2022-10-02 19:00:00,11.1,100.0,0.0,2.2,131.0
2022-10-02 20:00:00,11.0,100.0,0.0,2.4,190.0
2022-10-02 21:00:00,11.0,100.0,0.0,4.8,217.0
2022-10-02 22:00:00,10.8,100.0,0.1,2.8,242.0
2022-10-02 23:00:00,10.8,100.0,0.0,2.1,282.0
2022-10-03 00:00:00,10.8,100.0,0.1,0.4,284.0
2022-10-03 01:00:00,10.8,100.0,0.0,0.9,0.0
2022-10-03 02:00:00,10.7,100.0,0.0,1.0,319.0
