datetime,TMP [Cº],RH [%],APCP [mm],WS [km/h],WD [º]
2019-11-01 00:00:00,8.3,28.6,0.0,13.0,23.0
2019-11-01 01:00:00,5.9,50.9,0.0,10.6,123.0
2019-11-01 02:00:00,2.5,86.6,0.0,4.5,142.0
2019-11-01 03:00:00,2.6,83.2,0.0,2.4,121.0
2019-11-01 04:00:00,5.2,54.0,0.0,5.6,275.0
2019-11-01 05:00:00,5.8,32.0,0.0,5.7,55.0
2019-11-01 06:00:00,4.9,30.2,0.0,6.5,229.0
2019-11-01 07:00:00,4.4,39.6,0.0,6.5,60.0
2019-11-01 08:00:00,5.1,44.0,0.0,7.9,145.0
2019-11-01 09:00:00,6.2,30.7,0.0,10.8,266.0
2019-11-01 10:00:00,6.7,34.8,0.0,8.2,135.0
2019-11-01 11:00:00,5.0,49.0,0.0,10.9,184.0
2019-11-01 12:00:00,1.6,87.8,0.0,7.3,193.0
2019-11-01 13:00:00,0.4,91.0,0.0,5.2,218.0
2019-11-01 14:00:00,1.4,88.0,0.1,14.3,171.0
2019-11-01 15:00:00,1.4,86.5,0.0,12.1,120.0
2019-11-01 16:00:00,0.7,90.8,0.0,3.6,169.0
2019-11-01 17:00:00,1.6,86.0,0.0,6.2,190.0
2019-11-01 18:00:00,2.1,79.0,0.1,5.6,155.0
2019-11-01 19:00:00,1.7,60.6,0.0,4.0,18.0
2019-11-01 20:00:00,0.8,69.8,0.0,3.3,67.0
2019-11-01 21:00:00,0.6,61.4,0.0,3.3,25.0
2019-11-01 22:00:00,2.4,33.7,0.0,8.5,237.0
2019-11-01 23:00:00,1.4,34.8,0.0,6.7,23.0
2019-11-02 00:00:00,2.0,27.6,0.0,8.0,37.0
2019-11-02 01:00:00,1.5,24.2,0.0,8.3,11.0
2019-11-02 02:00:00,2.5,18.0,0.0,9.6,34.0
2019-11-02 03:00:00,3.2,15.7,0.0,9.8,15.0
2019-11-02 04:00:00,3.4,16.0,0.0,11.0,32.0
2019-11-02 05:00:00,3.8,15.0,0.0,11.3,17.0
2019-11-02 06:00:00,4.7,14.6,0.0,10.9,18.0
2019-11-02 07:00:00,8.2,9.3,0.0,9.3,21.0
2019-11-02 08:00:00,10.3,10.0,0.0,7.0,15.0
2019-11-02 09:00:00,11.4,11.1,0.0,6.2,31.0
2019-11-02 10:00:00,12.2,12.4,0.0,6.5,296.0
2019-11-02 11:00:00,12.9,9.8,0.0,8.1,41.0
2019-11-02 12:00:00,13.8,9.5,0.0,9.9,19.0
2019-11-02 13:00:00,14.4,13.3,0.0,10.8,19.0
2019-11-02 14:00:00,15.3,13.4,0.0,9.9,15.0
2019-11-02 15:00:00,15.5,18.7,0.0,8.9,3.0
2019-11-02 16:00:00,16.1,19.5,0.0,5.3,28.0
2019-11-02 17:00:00,15.6,46.1,0.0,4.6,172.0
2019-11-02 18:00:00,13.9,60.3,0.0,2.4,195.0
2019-11-02 19:00:00,10.5,64.8,0.0,8.0,278.0
2019-11-02 20:00:00,10.2,39.7,0.0,8.4,2.0
2019-11-02 21:00:00,11.6,16.2,0.0,7.1,13.0
2019-11-02 22:00:00,12.2,12.2,0.0,7.1,35.0
2019-11-02 23:00:00,11.4,12.9,0.0,8.7,39.0
2019-11-03 00:00:00,11.5,12.3,0.0,7.1,42.0
2019-11-03 01:00:00,11.0,12.2,0.0,8.1,17.0
2019-11-03 02:00:00,9.2,17.3,0.0,12.8,8.0
2019-11-03 03:00:00,9.5,14.7,0.0,9.3,3.0
2019-11-03 04:00:00,10.2,14.9,0.0,11.2,30.0
2019-11-03 05:00:00,9.2,17.1,0.0,10.4,11.0
2019-11-03 06:00:00,9.2,13.2,0.0,10.9,7.0
2019-11-03 07:00:00,10.0,11.9,0.0,14.3,4.0
2019-11-03 08:00:00,13.0,10.4,0.0,7.3,14.0
2019-11-03 09:00:00,12.4,24.4,0.0,5.1,153.0
2019-11-03 10:00:00,12.8,30.5,0.0,6.4,150.0
2019-11-03 11:00:00,13.9,34.0,0.0,7.8,292.0
2019-11-03 12:00:00,12.9,48.5,0.0,13.0,159.0
2019-11-03 13:00:00,12.3,57.9,0.0,10.1,188.0
2019-11-03 14:00:00,11.9,56.5,0.0,12.0,244.0
2019-11-03 15:00:00,11.8,41.9,0.0,12.1,152.0
2019-11-03 16:00:00,11.3,55.3,0.0,11.0,270.0
2019-11-03 17:00:00,9.6,62.6,0.0,9.6,233.0
2019-11-03 18:00:00,7.8,68.3,0.0,5.2,150.0
2019-11-03 19:00:00,6.4,70.7,0.0,5.0,158.0
2019-11-03 20:00:00,5.2,75.2,0.0,3.5,207.0
2019-11-03 21:00:00,4.9,70.3,0.0,3.3,16.0
2019-11-03 22:00:00,5.3,49.1,0.0,3.9,8.0
2019-11-03 23:00:00,5.2,62.2,0.0,5.8,86.0
2019-11-04 00:00:00,3.9,88.2,0.0,2.6,97.0
2019-11-04 01:00:00,3.6,88.3,0.0,2.0,232.0
2019-11-04 02:00:00,3.6,91.7,0.0,1.8,17.0
2019-11-04 03:00:00,3.2,93.0,0.0,3.1,116.0
2019-11-04 04:00:00,2.8,83.1,0.0,3.3,240.0
2019-11-04 05:00:00,2.0,87.2,0.0,2.1,100.0
2019-11-04 06:00:00,1.7,92.4,0.0,2.6,76.0
2019-11-04 07:00:00,2.2,92.1,0.0,2.4,158.0
2019-11-04 08:00:00,4.1,74.6,0.0,6.2,186.0
2019-11-04 09:00:00,5.0,70.0,0.0,9.9,167.0
2019-11-04 10:00:00,5.6,73.2,0.0,9.1,250.0
2019-11-04 11:00:00,3.9,92.5,0.0,8.2,217.0
2019-11-04 12:00:00,3.8,93.0,0.0,7.2,229.0
2019-11-04 13:00:00,3.6,93.0,0.1,8.0,227.0
2019-11-04 14:00:00,3.8,92.6,0.0,8.4,187.0
2019-11-04 15:00:00,4.1,92.0,0.0,7.2,220.0
2019-11-04 16:00:00,4.3,92.7,0.0,6.4,187.0
2019-11-04 17:00:00,4.2,93.0,0.0,6.5,143.0
2019-11-04 18:00:00,4.0,93.0,0.0,4.4,196.0
2019-11-04 19:00:00,3.7,93.0,0.0,3.5,133.0
2019-11-04 20:00:00,3.0,92.9,0.0,2.4,1.0
2019-11-04 21:00:00,1.5,87.8,0.0,5.5,9.0
2019-11-04 22:00:00,1.3,71.5,0.0,7.0,10.0
2019-11-04 23:00:00,2.2,52.0,0.0,6.6,15.0
2019-11-05 00:00:00,2.9,38.0,0.0,6.0,9.0
2019-11-05 01:00:00,3.9,21.9,0.0,4.8,3.0
2019-11-05 02:00:00,5.0,15.7,0.0,9.3,17.0
